ID;"""Nome""";"""Empreendedor""";"""CPF_CNPJ""";"""UF""";"""Município""";"""Dano Potencial Associado - DPA""";"""Inserido na PNSB""";"""Nível de Emergência""";"""Tipo de Barragem de Mineração""";"""A Barragem de Mineração possui outra estrutura de mineração interna selante de reservatório""";"""Quantidade Diques Internos""";"""Quantidade Diques Selantes""";"""A barragem de mineração possui Back Up Dam""";"""Situação Operacional""";"""Estrutura com o Objetivo de Contenção""";"""A Barragem de Mineração está dentro da Área do Processo ANM ou da Área de Servidão""";"""Barragem de mineração é alimentado por usina""";"""Usinas""";"""Minério principal presente no reservatório""";;
8179;"""Dique Petrobrás""";"""MOSAIC FERTILIZANTES P&K LTDA.""";"""33931486001455""";"""SE""";"""ROSÁRIO DO CATETE""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Não""";"""-""";"""Sais""";;
8190;"""RECON""";"""MINERACAO SAO FRANCISCO DE ASSIS LTDA""";"""42323964000110""";"""PA""";"""SÃO FÉLIX DO XINGU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Inativa""";"""Rejeitos""";"""Não""";"""Sim""";"""RECON""";"""Areia""";;
8253;"""BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BII""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""BA""";"""SANTALUZ""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Sim""";"""USINA DE SANTALUZ - BENEFICIAMENTO""";"""Cromita""";;
8254;"""BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BIII """;"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""BA""";"""SANTALUZ""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Sim""";"""USINA DE SANTALUZ - BENEFICIAMENTO""";"""Cromita""";;
8255;"""BARRAGEM USINA SANTALUZ BENEFICIAMENTO BI""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""BA""";"""SANTALUZ""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Sim""";"""USINA DE SANTALUZ - BENEFICIAMENTO""";"""Cromita""";;
8256;"""Barragem de Contenção de Sólidos Carreados""";"""EXTRATIVA MINERAL S/A""";"""17174889000126""";"""MG""";"""NOVA LIMA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8262;"""BARRAGEM B1""";"""Cimento Tupi S.a.""";"""33039223000111""";"""MG""";"""CARANAÍBA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8269;"""Usina""";"""MINERACAO ONCA PUMA S.A.""";"""48256824000153""";"""PA""";"""OURILÂNDIA DO NORTE""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8271;"""Dique 04""";"""MINERACAO ONCA PUMA S.A.""";"""48256824000153""";"""PA""";"""SÃO FÉLIX DO XINGU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8272;"""Dique 05""";"""MINERACAO ONCA PUMA S.A.""";"""48256824000153""";"""PA""";"""SÃO FÉLIX DO XINGU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8278;"""bonito""";"""ECB ROCHAS ORNAMENTAIS DO BRASIL LTDA""";"""02746671000121""";"""PI""";"""CASTELO DO PIAUÍ""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Sim""";"""BONITO""";"""Não se aplica a esse tipo de barragem""";;
8288;"""Dique Provisorio 01""";"""MINERACAO ONCA PUMA S.A.""";"""48256824000153""";"""PA""";"""SÃO FÉLIX DO XINGU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8289;"""Dique Provisorio 02""";"""MINERACAO ONCA PUMA S.A.""";"""48256824000153""";"""PA""";"""SÃO FÉLIX DO XINGU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8292;"""Bacia de Decantação 1""";"""MINERACAO MATHEUS LEME LTDA""";"""60510195000141""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Em Descaracterização""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8293;"""Bacia de Decantação 2""";"""MINERACAO MATHEUS LEME LTDA""";"""60510195000141""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Em Descaracterização""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8294;"""Bacia de Decantação 3""";"""MINERACAO MATHEUS LEME LTDA""";"""60510195000141""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Em Descaracterização""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8300;"""TANQUE DE DECANTAÇÃO""";"""PEDREIRAS BAHIA LTDA""";"""34089417000194""";"""BA""";"""SIMÕES FILHO""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Sim""";"""CENTRAL DE BENEFICIAMENTO""";"""Não se aplica a esse tipo de barragem""";;
8308;"""Prata""";"""VALE S.A.""";"""33592510000154""";"""MG""";"""OURO PRETO""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8309;"""Cata Branca""";"""VALE S.A.""";"""33592510000154""";"""MG""";"""ITABIRITO""";"""Alta""";"""Sim""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Em Descaracterização""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8333;"""BARRAGEM  USINA BENEFICIAMENTO L7 - IIB""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""MG""";"""UBERABA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Sim""";"""USINA BELA VISTA - BENEFICIAMENTO L7";;;
8337;"""BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVA""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""MG""";"""UBERABA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Não""";"""Sim""";"""USINA BELA VISTA - BENEFICIAMENTO L8""";"""Argila""";;
8338;"""BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVB""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""MG""";"""UBERABA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Não""";"""Sim""";"""USINA BELA VISTA - BENEFICIAMENTO L8""";"""Argila""";;
8346;"""BACIA DE SEDIMENTO DA USINA DE TRATAMENTO""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""BA""";"""BRUMADO""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Sim""";"""USINA TRATAMENTO MINÉRIO""";"""Magnesita""";;
8347;"""engebrita""";"""Pedreira Engebrita Ltda""";"""61728804000104""";"""SP""";"""SANTOS""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Sim""";"""michael""";"""Não se aplica a esse tipo de barragem""";;
8350;"""BARRAGEM USINA BENEFICIAMENTO L7 - IIA""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""MG""";"""UBERABA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Sim""";"""USINA BELA VISTA - BENEFICIAMENTO L7";;;
8351;"""BARRAGEM USINA BENEFICIAMENTO L8 - IIIA""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""MG""";"""UBERABA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Não""";"""Sim""";"""USINA BELA VISTA - BENEFICIAMENTO L8""";"""Argila Refratária""";;
